seed,tau,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
56051,51,1.0251520281243243,0.0013392494926210742,1.0238127786317033,1.0102343330822638,0.0081649155249604,1.0020694175573035,0.049514418170236316,0.0025193740203183117,0.046995044149918,0.049032867356704216,0.002325102823428417,0.0467077645332758,0.9550743734073855,0.9553616530240276,1.0
56052,52,1.0564033428218906,0.0014236074603636197,1.0549797353615271,1.0570095549430285,0.0096647522886114,1.0473448026544172,0.00911272918358753,0.002962739378490745,0.006149989805096786,0.008755990123121612,0.003565531065420598,0.005190459057701014,1.0411948128493205,1.0421543435967162,0.9975
56053,53,1.0342914797000418,0.0016901435748386464,1.032601336125203,1.0439730067121227,0.00745810262936483,1.036514904082758,0.04163438836066759,0.0034118107769718253,0.03822257758369576,0.040999942705753877,0.10436731705780797,0.0,0.9982923264990622,1.036514904082758,1.0
56054,54,1.0774011947187176,0.0021865065446714034,1.0752146881740463,1.0876455076510425,0.00942120461505564,1.0782243030359868,0.007808541910339836,0.00507914728951817,0.002729394620821666,0.007504051606502817,0.00468143196627179,0.0028226196402310272,1.0754949084151653,1.0754016833957558,1.0
56055,55,1.0857063067660593,0.0035608823231416307,1.0821454244429176,1.081183379980085,0.009289012508231593,1.0718943674718533,0.011931218978087414,0.005056766774355611,0.006874452203731803,0.011929804320200608,0.004399037712051887,0.007530766608148721,1.0650199152681215,1.0643636008637045,1.0
56056,56,1.081584736557718,0.0017807860487419251,1.079803950508976,1.0415494383215207,0.008877553789443052,1.0326718845320777,0.02386496612288191,0.0016605550561612425,0.022204411066720667,0.023573022171095366,0.1359664433736192,0.0,1.010467473465357,1.0326718845320777,1.0
56057,57,1.0913341749385055,0.0011292464751352816,1.0902049284633701,1.0467306135097196,0.008695726174543339,1.0380348873351763,0.01649986944539557,0.0022460043929424614,0.01425386505245311,0.016238379499307544,0.0033773259586711395,0.012861053540636404,1.0237810222827233,1.02517383379454,1.0
56058,58,1.1223930067114234,0.0012751032344024411,1.121117903477021,1.0633485174258899,0.009850890431719815,1.05349762699417,0.01131523389387886,0.0017981959241982091,0.00951703796968065,0.010712496764985573,0.0030804875663850016,0.007632009198600572,1.0439805890244893,1.0458656177955694,0.9975
56059,59,1.0917240386289622,0.002967651036075466,1.0887563875928867,1.071005107725022,0.008666682034741288,1.0623384256902808,0.0068366260650419225,0.00329664664182397,0.0035399794232179524,0.00648131417702838,0.005222599621324473,0.0012587145557039067,1.0587984462670628,1.0610797111345769,1.0
56060,60,1.1064478449273418,0.0015151707798192913,1.1049326741475225,1.0425298476531863,0.010526167039476524,1.0320036806137098,0.0025467934224767293,0.0032113618651996847,0.0,0.0023231813600837446,0.003604337292141518,0.0,1.0320036806137098,1.0320036806137098,0.9975
56061,61,1.1286821187247447,0.002364549135343334,1.1263175695894014,1.0613588315123175,0.008581110229027024,1.0527777212832905,0.003565544947093973,0.0014207837290544528,0.0021447612180395203,0.0032894295371672954,0.0014834263120372235,0.001806003225130072,1.050632960065251,1.0509717180581604,0.995
56062,62,1.142441315366218,0.0018445246166184494,1.1405967907495995,1.0418002638196497,0.010326047942354043,1.0314742158772956,0.006003909181910861,0.0038832624936680064,0.002120646688242855,0.005626445916544332,0.0033058514271468373,0.0023205944893974944,1.0293535691890527,1.029153621387898,1.0
56063,63,1.149446932352641,0.001671048977667338,1.1477758833749738,1.041305032585839,0.009633163612524854,1.0316718689733142,0.016773132852224135,0.0034809561191715076,0.013292176733052627,0.016635520715762867,0.004770951235863852,0.011864569479899015,1.0183796922402615,1.019807299493415,1.0
56064,64,1.2027342695216898,0.0026771727510849237,1.2000570967706048,1.116741835993698,0.010401611743582331,1.1063402242501157,2.1948399233313147e-05,0.0035750659284904404,0.0,5.949943354877808e-06,0.0030634596501850513,0.0,1.1063402242501157,1.1063402242501157,0.995
56065,65,1.1678169329978285,0.0019091099794919528,1.1659078230183366,1.0703878082014515,0.009177901524174015,1.0612099066772775,0.01839486840907709,0.0032686209252166584,0.015126247483860432,0.018245326307962266,0.0028229501386906205,0.015422376169271645,1.046083659193417,1.045787530508006,1.0
56066,66,1.1586451183379811,0.002384639125375075,1.156260479212606,1.1166224574670471,0.009429737199022282,1.107192720268025,0.0008314282353614885,0.003284683709608143,0.0,0.000760001893636255,0.008389999721034026,0.0,1.107192720268025,1.107192720268025,1.0
