P,alpha,epsilon,tau_h_theory,tau_h_mc,error_relative,status,tau_max_used,mi_start,mi_end,mi_end_ci_lo,mi_end_ci_hi
1.0,0.001,0.0031622776601683794,227610.38023246502,nan,nan,NO_CROSS,250000.0,6.644171738955926,0.0031662779660622115,0.0028693616209984232,0.0034631943111259997
1.0,0.0031622776601683794,0.0031622776601683794,71976.72206315547,79162.45361334542,0.09983410391883209,COVERED,107965.0830947332,6.644171738955926,0.002355174930474175,0.002101462282570506,0.0026088875783778437
1.0,0.01,0.0031622776601683794,22761.038023246503,25033.369915885523,0.0998342821763323,COVERED,34141.55703486975,6.644171738955926,0.002355174930474175,0.002101462282570506,0.0026088875783778437
1.0,0.0001,0.01,716358.0728604906,nan,nan,OUT_OF_RANGE,250000.0,6.644171738955926,0.029171932922241302,0.028227202365688927,0.030116663478793677
1.0,0.00031622776601683794,0.01,226532.3130488002,238988.32582258378,0.05498558949998572,COVERED,250000.0,6.644171738955926,0.009573630318587273,0.009042722743688817,0.010104537893485728
1.0,0.001,0.01,71635.80728604906,75574.87982962154,0.05498748032312049,COVERED,107453.7109290736,6.644171738955926,0.007117602273643747,0.006662843876431168,0.007572360670856326
1.0,0.0031622776601683794,0.01,22653.23130488002,23898.872300236842,0.05498734280298822,COVERED,33979.84695732003,6.644171738955926,0.007117602273643012,0.0066628438764304325,0.007572360670855591
1.0,0.01,0.01,7163.580728604907,7557.475331844427,0.05498571429043291,COVERED,10745.37109290736,6.644171738955926,0.007117602273643012,0.0066628438764304325,0.007572360670855591
1.0,0.0001,0.03162277660168379,223145.64580593907,229942.99778117798,0.030461503968355712,COVERED,250000.0,6.644171738955926,0.029171932922241302,0.028227202365688927,0.030116663478793677
1.0,0.00031622776601683794,0.03162277660168379,70564.8490695967,72714.3802628074,0.030461784040530716,COVERED,105847.27360439506,6.644171738955926,0.022002498620906027,0.021185201274295525,0.02281979596751653
1.0,0.001,0.03162277660168379,22314.56458059391,22994.43787674157,0.030467692689774402,COVERED,33471.84687089086,6.644171738955926,0.022002498620906027,0.021185201274295525,0.02281979596751653
1.0,0.0031622776601683794,0.03162277660168379,7056.48490695967,7271.430769938109,0.03046075571796968,COVERED,10584.727360439505,6.644171738955926,0.022002498620906027,0.021185201274295525,0.02281979596751653
1.0,0.01,0.03162277660168379,2231.456458059391,2299.439275631474,0.030465670672868563,COVERED,3347.1846870890868,6.644171738955926,0.022002498620905878,0.02118520127429538,0.022819795967516376
1.0,0.0001,0.1,67249.23958872572,68375.6226438196,0.01674937979942192,COVERED,100873.85938308857,6.644171738955926,0.06950056576711736,0.06803655792370583,0.07096457361052888
1.0,0.00031622776601683794,0.1,21266.07680147383,21622.265454820725,0.016749147323788835,COVERED,31899.11520221075,6.644171738955926,0.06950056576711808,0.06803655792370655,0.0709645736105296
1.0,0.001,0.1,6724.923958872572,6837.521856371389,0.016743371105372842,COVERED,10087.385938308858,6.644171738955926,0.06950056576711808,0.06803655792370655,0.0709645736105296
1.0,0.0031622776601683794,0.1,2126.6076801473832,2162.2230080149698,0.016747483891865863,COVERED,3189.911520221075,6.644171738955926,0.06950056576711808,0.06803655792370655,0.0709645736105296
1.0,0.01,0.1,672.4923958872572,683.7620321050753,0.016758012858940054,COVERED,2000.0,6.644171738955926,0.036170296977927896,0.03511590759528679,0.037224686360569005
10.0,0.0001,0.001,72084762.59689824,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.2448191687427476,0.24220841916461952,0.24742991832087566
10.0,0.00031622776601683794,0.001,22795203.439871248,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.08737278929175643,0.08573505793750227,0.08901052064601059
10.0,0.001,0.001,7208476.259689825,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.0291720342770272,0.028227302039452323,0.030116766514602076
10.0,0.0031622776601683794,0.001,2279520.343987125,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.009573640858717406,0.009042732979115207,0.010104548738319605
10.0,0.01,0.001,720847.6259689825,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.0031662790519907252,0.0028693626529766878,0.0034631954510047627
10.0,0.0001,0.0031622776601683794,22761047.0232465,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.2448191687427476,0.24220841916461952,0.24742991832087566
10.0,0.00031622776601683794,0.0031622776601683794,7197675.05236544,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.08737278929175643,0.08573505793750227,0.08901052064601059
10.0,0.001,0.0031622776601683794,2276104.7023246503,nan,nan,OUT_OF_RANGE,250000.0,8.305039862350693,0.0291720342770272,0.028227302039452323,0.030116766514602076
