tau,seed,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
25,51525.0,0.4435491335276196,0.003677356324845519,0.4398717772027741,0.4712921723276543,0.0021586765376244562,0.46913349579002983,0.19444967866580884,0.01830146786474979,0.17861648236575747,0.19463136441351764,0.01691594015694602,0.1812488076530645,0.2905170134242724,0.2878846881369653,0.0
26,51526.0,0.5268994435157339,0.008076556424825174,0.5188228870909086,0.5519230838996753,0.00217778900090675,0.5497452948987684,0.15455156424818492,0.008294353584215744,0.14625721066396918,0.15462328751325644,0.012050524116307578,0.1448522801448298,0.40348808423479926,0.4048930147539387,0.0
27,51527.0,0.6064002134577917,0.009624319232562205,0.5967758942252295,0.603382699525884,0.0021351983509130296,0.6012475011749709,0.1289984496784085,0.0024435270242281312,0.12655492265418036,0.12901194494605867,0.0029192249439249406,0.1260927200021337,0.4746925785207906,0.47515478117283727,0.0
28,51528.0,0.6749811654576229,0.010607704824021168,0.6643734606336017,0.6789585071796004,0.0021288653161285224,0.6768296418634718,0.08163036909286463,0.0027016519005244283,0.07892871719234021,0.0815855612370286,0.005243107856049341,0.07634245338097925,0.5979009246711317,0.6004871884824926,0.0
29,51529.0,0.7923201962222174,0.06622119542544427,0.7449567560943093,0.7959346934271031,0.002116617018570231,0.793818076408533,0.05971726268887519,0.027763562368916018,0.05215537662741014,0.05965941689096508,0.011321323908491287,0.05439555050565455,0.7416626997811229,0.7394225259028784,0.0
30,51530.0,0.8709934431806963,0.00979236838610926,0.8612010747945869,0.9245068160364541,0.0021538721681090677,0.922352943868345,0.035940759482500764,0.004628091588569196,0.03163184998544695,0.035871841273107455,0.0028541479393780016,0.03301769333372946,0.890721093882898,0.8893352505346155,0.0
31,51531.0,0.9874984927202556,0.024192464868499745,0.963306027851756,1.0126990668346263,0.002133639132410497,1.0105654277022158,0.008366669914113022,0.0045827140049831015,0.005185018166879381,0.008320962881060344,0.00962508917141235,0.005514085366759647,1.0053804095353365,1.0050513423354561,0.0
32,51532.0,1.139996232695775,0.042888470729854675,1.0971077619659204,1.1062979614032815,0.0021247944696196736,1.1041731669336619,0.0012740115028710914,0.0020324734056880235,2.209963404302298e-05,0.0012507702441414712,0.0263595071137623,1.5005132259341152e-05,1.1041510672996189,1.1041581618014025,0.0
33,51533.0,1.2795542837538856,0.009282011328497618,1.2702722724253879,1.2806603272794206,0.00217243739749863,1.2784878898819219,0.007589035405419895,0.0018674871150277654,0.005721548290392129,0.007675058947951509,0.0022023148386280935,0.005472744109323415,1.2727663415915298,1.2730151457725984,0.0036249999999999998
34,51534.0,1.5196303306924652,0.049771215569988966,1.4698591151224762,1.5891906012704813,0.002288010220005439,1.586902591050476,0.041903882238476194,0.0055071214592367825,0.037977007507427926,0.04217123330114252,0.011002240912355125,0.034504229495131676,1.548925583543048,1.5523983615553443,0.27549999999999997
35,51535.0,1.1878574646973377,0.0029379024993737993,1.184919562197964,1.3678857326822418,0.004820400589712155,1.3630653320925297,0.0016722883798476209,0.010233669020966877,0.0003167177868120365,0.0017433617508383725,0.004688276509299487,0.00039079925774490164,1.3627486143057177,1.3626745328347847,0.9252499999999999
36,51536.0,0.9144585716104269,0.002000346684073585,0.9124582249263533,1.006856883462791,0.008389281998778133,0.9984676014640128,0.037018843498617206,0.014595863849557833,0.028993004094841585,0.0363839240191798,0.020872142356170187,0.03160710297771698,0.9694745973691712,0.9668604984862958,0.99875
37,51537.0,0.9095007027415469,0.001957692904045571,0.9075430098375016,1.0033629357544076,0.008540749228189818,0.9948221865262177,0.03999160097651783,0.002142994801790192,0.037848606174727635,0.039336270469021314,0.004347286327236539,0.03498898414178477,0.95697358035149,0.9598332023844329,0.99925
38,51538.0,0.9208848050535898,0.0031942074607417756,0.9176905975928481,1.0133145130172256,0.008418996364316974,1.0048955166529088,0.033861035171060705,0.007607745329545952,0.02765518190926809,0.033188462382280695,0.002714199373367656,0.03047426300891304,0.9772403347436407,0.9744212536439958,0.9995
39,51539.0,0.9328797742787511,0.004829817432698272,0.928049956846053,1.0126110645208222,0.00863433239716132,1.0039767321236608,0.02990188808543272,0.008136533139701098,0.026418770376263778,0.029214801512988064,0.0023268989567292674,0.026887902556258798,0.9775579617473971,0.977088829567402,0.99925
40,51540.0,0.9357055620119421,0.01859527449741328,0.9171102875145289,1.0227871949026863,0.008674532002337036,1.0141126629003492,0.03204788499210398,0.005087407378929892,0.028736871243259614,0.03135206677456293,0.0027323309448959764,0.02861973582966696,0.9853757916570896,0.9854929270706823,0.999625
41,51541.0,0.9413046655923472,0.002062731598721333,0.9392419339936259,1.0185250468115774,0.008628601154471331,1.0098964456571058,0.03405400490540222,0.011493594176675328,0.03035613414718663,0.033324109208299924,0.003646951880365474,0.02967715732793445,0.9795403115099192,0.9802192883291714,1.0
42,51542.0,0.9520342678928635,0.0023135744409280264,0.9497206934519354,1.0278714506174085,0.009036195433408212,1.0188352551840003,0.03161639113655715,0.005437717540397542,0.02697628363797272,0.030938479801123193,0.025058036999543183,0.02397125307559733,0.9918589715460275,0.994864002108403,0.999625
43,51543.0,0.9569099561134587,0.0019307053905048503,0.9549792507229539,1.0282789672857249,0.008818810199851352,1.0194601570858735,0.03423206296646394,0.002535623542028289,0.03169643942443565,0.0335079597452043,0.00823291899567032,0.028300503463596687,0.9877637176614378,0.9911596536222768,0.999375
44,51544.0,0.9693582924685284,0.0018317870172515622,0.9675265054512767,1.0378730459630114,0.008777710443914472,1.029095335519097,0.026398880718662688,0.0028922812915601137,0.023506599427102575,0.02572881186035602,0.0030437117247749195,0.022685100135581098,1.0055887360919944,1.006410235383516,0.9995
45,51545.0,0.9755041575972081,0.0025493567764283505,0.9729548008207797,1.0408286289985775,0.008528366756656107,1.0323002622419213,0.02981340131766978,0.009651379301657917,0.026058823646315177,0.029146890777333435,0.013107101664236735,0.024405230204114045,1.0062414385956062,1.0078950320378073,0.999375
46,51546.0,0.9864942153392041,0.027830033285441497,0.9586641820537627,1.0447607978917626,0.008915084796213626,1.035845713095549,0.031145667364294742,0.005045315954997821,0.026729408942955918,0.03048033772513322,0.01229235561072389,0.02489512618834335,1.009116304152593,1.0109505869072055,0.99975
47,51547.0,0.9968151668292734,0.0027642052755172705,0.994050961553756,1.0422577313058732,0.009100549563175525,1.0331571817426977,0.028410672639136603,0.011239817648894363,0.024283186116697948,0.027774428754431573,0.011678308149910058,0.01974959040087542,1.0088739956259998,1.0134075913418223,0.99975
48,51548.0,1.0071396609173315,0.005616664014357259,1.0015229969029742,1.049110430497851,0.008976510112073411,1.0401339203857773,0.02448839330737066,0.003299410638020346,0.021188982669350313,0.023947459308624127,0.025247131786423144,0.018973790688016905,1.018944937716427,1.0211601296977604,0.9995
49,51549.0,1.0160039537684733,0.034961697242228126,0.9810422565262451,1.0508404898666739,0.009120336334920678,1.0417201535317533,0.02232552842344979,0.017099073057141874,0.016624992583929125,0.02179824777515319,0.008785661577064424,0.016997140033244634,1.0250951609478243,1.0247230134985086,0.999375
50,51550.0,1.0269139695301321,0.0026821703305195408,1.0242317991996124,1.04862081467624,0.00918955543113668,1.0394312592451032,0.020432677220674746,0.02508289679798161,0.01588349647235913,0.019915358145691058,0.00831314568786093,0.015254250711446721,1.023547762772744,1.0241770085336563,0.998875
51,51551.0,1.0383429853523514,0.006286021729441515,1.03205696362291,1.0515095810157935,0.009169444561796013,1.0423401364539975,0.02423641082822602,0.005194272489662851,0.01904213833856317,0.023756840432543686,0.011701057499423686,0.018703047591442763,1.0232979981154342,1.0236370888625548,0.99975
52,51552.0,1.0419840586716629,0.0031294025703687044,1.0388546561012943,1.0509238803438081,0.009181967385081192,1.0417419129587269,0.02042848196342984,0.012416399992515974,0.01567300159720096,0.019986211389429315,0.005029400626666266,0.016002861551538773,1.026068911361526,1.025739051407188,0.99925
53,51553.0,1.0556513187033592,0.0019634537253780484,1.0536878649779813,1.0525331526844677,0.009209190799319205,1.0433239618851482,0.02349261852721261,0.0036041993156858236,0.019888419211526787,0.02306249723029833,0.018438978610370856,0.014851243546899092,1.0234355426736215,1.0284727183382492,0.99975
54,51554.0,1.0707773024639762,0.012375745400109604,1.0584015570638665,1.05335584092254,0.009625406910577426,1.0437304340119629,0.020164253717161015,0.017943855857156476,0.01445977253016347,0.019736521499715422,0.005797079741643175,0.014697186388804693,1.0292706614817995,1.029033247623158,0.999875
55,51555.0,1.0799479486399395,0.0020054511840683193,1.0779424974558711,1.0594127649375926,0.009657546274023284,1.0497552186635692,0.018751669514298668,0.009520271896028821,0.014028845130767135,0.018451681826073593,0.00342291477192039,0.01510892456978986,1.0357263735328022,1.0346462940937793,0.99925
56,51556.0,1.088523965835692,0.0020094720128088976,1.0865144938228828,1.0520458656162543,0.009379798534828596,1.0426660670814258,0.019784576212115195,0.008223612962844238,0.015340815088097454,0.01948356217030204,0.009709446475889966,0.015393786754538263,1.0273252519933285,1.0272722803268877,0.9995
