tau_s,tau_h,mi_mc_mean,mi_mc_ci95_low,mi_mc_ci95_high,mi_mc_trial_std,mi_analytic,abs_err_mean_vs_analytic
34228.959731543626,9.508044369873229,0.0246419243900146,0.024011605636900354,0.025272243143128845,0.001438199570873841,0.02459590217707942,4.6022212935179635e-05
35235.6644295302,9.78768456375839,0.02367224834687443,0.023055186116980365,0.024289310576768492,0.0014079521350925841,0.023626938494899302,4.5309851975126186e-05
36242.36912751678,10.06732475764355,0.022761540384652463,0.022157156562066616,0.02336592420723831,0.0013790237875542079,0.0227169213771496,4.461900750286213e-05
37249.07382550336,10.34696495152871,0.02190492111780698,0.021312676175061482,0.02249716606055248,0.0013513264809279623,0.02186097234037109,4.3948777435891956e-05
38255.778523489935,10.62660514541387,0.021098021806377414,0.020517411344951796,0.021678632267803033,0.0013247800614236776,0.021054723506057978,4.329830031943663e-05
39262.48322147651,10.906245339299032,0.020336919935671743,0.019767471613426544,0.020906368257916943,0.0012993113859321149,0.020294253181037503,4.2666754634240744e-05
40269.18791946309,11.18588553318419,0.019618084266542844,0.019059355060574157,0.02017681347251153,0.001274853556694355,0.019576030908794565,4.2053357748279147e-05
41275.89261744967,11.465525727069352,0.018938327773658746,0.0183899015349673,0.019486754012350192,0.0012513452554679574,0.01889687040903374,4.145736462500549e-05
42282.597315436244,11.745165920954513,0.018294767184163944,0.017756252447069878,0.01883328192125801,0.0012287301622732239,0.018253889117781436,4.0878066382508266e-05
43289.30201342282,12.024806114839672,0.01768478806365776,0.017155816078325326,0.018213760048990193,0.0012069564463228013,0.01764447327490208,4.0314788755678455e-05
44296.0067114094,12.304446308724833,0.017106014584006384,0.016586237544978226,0.017625791623034542,0.0011859763187862496,0.017066247693484204,3.976689052218041e-05
45302.711409395975,12.584086502609994,0.0165562832583001,0.016045372705742685,0.017067193810857518,0.0011657456387146525,0.01651704949637689,3.923376192321165e-05
46309.41610738255,12.863726696495153,0.01603362005015216,0.015531265423713976,0.01653597467659034,0.0011462235648237664,0.015994905227060905,3.87148230912536e-05
47316.12080536913,13.143366890380314,0.015536220363565362,0.015042127691453274,0.01603031303567745,0.0011273722469664728,0.015498010841041226,3.8209522524135925e-05
48322.82550335571,13.423007084265475,0.015062431500347102,0.014576322208519166,0.015548540792175037,0.001109156552062804,0.01502471416474715,3.7717335599951954e-05
49329.530201342284,13.702647278150634,0.014610737238301936,0.014132347066626373,0.015089127409977499,0.0010915438200350554,0.014573499475154694,3.723776314724231e-05
50336.23489932886,13.982287472035795,0.014179744237948263,0.013708822251844572,0.014650666224051954,0.0010745036459459856,0.014142973907870051,3.67703300782115e-05
51342.93959731544,14.261927665920956,0.013768170030569344,0.013304477718075082,0.014231862343063605,0.0010580076850829003,0.013731855446481126,3.631458408821786e-05
52349.644295302016,14.541567859806115,0.013374832377806688,0.012918142823240207,0.01383152193237317,0.001042029478188521,0.013338962283398256,3.5870094408432807e-05
53356.34899328859,14.821208053691276,0.012998639824190273,0.012548736950637069,0.013448542697743477,0.0010265442944259755,0.01296320337355345,3.54364506368228e-05
54363.05369127517,15.100848247576437,0.012638583290014539,0.012195261163778942,0.013081905416250135,0.0010115289899923822,0.012603570028394996,3.501326161954241e-05
55369.75838926175,15.380488441461596,0.012293728573864796,0.011856790764820997,0.012730666382908595,0.0009969618805732235,0.012259128419458936,3.4600154405860575e-05
56376.463087248325,15.660128635346757,0.011963209652460251,0.011532468644925247,0.012393950659995255,0.0009828226260663463,0.011929012879211137,3.419677324911427e-05
57383.1677852349,15.939768829231918,0.011646222681063068,0.011221499330414187,0.01207094603171195,0.0009690921262065092,0.011612419902385639,3.380277867742927e-05
58389.87248322148,16.219409023117077,0.01134202061082001,0.010923143641603726,0.011760897580036294,0.0009557524258945894,0.011308602764214222,3.3417846605788074e-05
59396.57718120806,16.499049217002238,0.011049908350641584,0.010636713892379319,0.01146310280890385,0.0009427866291843106,0.01101686668312715,3.304166751443363e-05
60403.281879194634,16.7786894108874,0.010769238410695154,0.010361569567994493,0.011176907253395815,0.000930178821007496,0.01073656446503606,3.267394565909312e-05
61409.98657718121,17.05832960477256,0.010499406972801653,0.010097113426735681,0.010901700518867624,0.000917913995829548,0.010467092574457415,3.2314398344238104e-05
62416.69127516779,17.33796979865772,0.01023985033993577,0.009842787977965499,0.010636912701906042,0.0009059779925226068,0.010207887584711523,3.1962755224247685e-05
63423.395973154365,17.617609992542878,0.009990041723086113,0.00959807229507681,0.010382011151095417,0.000894357434827054,0.009958422965429052,3.161875765706097e-05
64430.10067114094,17.89725018642804,0.009749488328852737,0.0093624791269791,0.010136497530726374,0.0008830396768442775,0.009718206170759735,3.128215809300276e-05
65436.80536912752,18.1768903803132,0.009517728715629442,0.00913555227618106,0.009899905155077824,0.0008720127530667476,0.009486775996134175,3.095271949526794e-05
66443.5100671141,18.45653057419836,0.00929433039008878,0.008916864215379704,0.009671796564797858,0.0008612653325064369,0.009263700175287855,3.063021480092555e-05
67450.21476510068,18.73617076808352,0.009078887619008692,0.008706013917766119,0.009451761320251266,0.0008507866765309608,0.009048573192598844,3.031442640984844e-05
68456.91946308725,19.015810961968683,0.008871019434405512,0.008502624879165331,0.009239413989645694,0.0008405666000590276,0.008841014288701593,3.000514570391903e-05
69463.62416107382,19.29545115585384,0.00867036781246094,0.008306343312634195,0.009034392312287686,0.0008305954358040446,0.008640665639866678,2.970217259426304e-05
70470.3288590604,19.575091349739,0.008476596008949188,0.00811683649834558,0.008836355519552795,0.000820864001287473,0.008447190693852078,2.9405315097109572e-05
71477.03355704699,19.854731543624165,0.00828938703579098,0.007933791273494865,0.008644982798087095,0.0008113635683724178,0.008260272646859555,2.9114388931425483e-05
72483.73825503356,20.134371737509323,0.008108442265065416,0.007756912648657903,0.00845997188147293,0.0008020858350934957,0.008079613047926332,2.8829217139083804e-05
73490.44295302013,20.41401193139448,0.007933480148299626,0.007585922538508615,0.008281037758090637,0.000793022899581681,0.007904930518569086,2.8549629730539525e-05
74497.14765100672,20.693652125279645,0.007764235040150645,0.007420558596090091,0.0081079114842112,0.0007841672359028597,0.007735959576804868,2.8275463345777026e-05
75503.8523489933,20.973292319164806,0.0076004561167629615,0.007260573140994248,0.007940339092531676,0.0007755116716466921,0.007572449555825204,2.800656093775774e-05
